NAME,ID,ALGORITHM,STATUS,ERROR_MODULES,ERROR_HANDLING,TRIAL_NUMBER,DATE,TIME,COMMENT
s0_2591,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2760,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4154,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2590,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2824,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4124,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_918,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4545,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_777,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2601,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_890,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4148,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1846,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_847,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2821,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2822,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1525,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_845,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2588,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2823,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1528,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2598,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1391,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4133,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_888,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1147,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1380,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4132,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_848,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3019,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4539,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4370,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4149,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1123,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_805,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4140,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4130,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3090,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4120,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_998,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_919,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4109,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2527,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_997,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1848,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2571,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2827,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4139,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4546,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_5034,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1516,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2596,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4119,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4632,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4927,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1524,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1146,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_775,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_843,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2526,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1236,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2320,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2572,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4123,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_900,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4129,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4542,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2597,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1529,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1003,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2788,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_889,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_851,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3351,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2525,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1845,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_922,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_996,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4548,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_923,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3337,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4145,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4110,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3349,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2600,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3350,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_864,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4077,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4117,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1526,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4113,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2593,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4114,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4547,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_779,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4126,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_916,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2594,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_835,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4122,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1517,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3148,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1518,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_49,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_917,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4366,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_849,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2592,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4138,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4368,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4541,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2699,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_46,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2599,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2818,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4116,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4135,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3278,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3276,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1847,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2319,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_846,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1148,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_920,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4078,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3336,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1523,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_3416,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2589,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_776,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4926,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_896,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4369,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_1002,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4146,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4144,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_2826,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4141,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4131,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_831,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4338,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4137,0,ORCA,TO SUBMIT,OPT,{},1,,,
s0_4128,0,ORCA,TO SUBMIT,OPT,{},1,,,
