NAME,ID,ALGORITHM,STATUS,ERROR_MODULES,ERROR_HANDLING,TRIAL_NUMBER,DATE,TIME,COMMENT
s0_2591,10697383,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:14.31,
s0_2760,10702978,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-19,21:09:33.76,
s0_4154,10697385,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:16.35,
s0_2590,10697386,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:17.37,
s0_2824,10697387,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:18.39,
s0_4124,10697388,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:19.41,
s0_918,10697389,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:20.43,
s0_4545,10697390,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:21.45,
s0_777,10704576,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,03:13:45.78,
s0_2601,10704354,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization""]}",2,2024-10-21,18:42:37.27,
s0_890,10697393,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:24.52,
s0_4148,10704546,ORCA,COMPLETE,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,00:58:30.37,
s0_1846,10704587,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,04:13:56.42,All frequencies below 100 and applied solutions didn't work
s0_847,10697396,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:27.58,
s0_2821,10697397,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:28.61,
s0_2822,10697398,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:29.63,
s0_1525,10698260,ORCA,COMPLETE,OPT,{},1,2024-10-13,00:41:49.93,
s0_845,10697400,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:31.67,
s0_2588,10697401,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:32.69,
s0_2823,10697402,ORCA,COMPLETE,OPT,{},1,2024-10-11,19:09:33.71,
s0_1528,10704467,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-21,21:13:08.72,All frequencies below 100 and applied solutions didn't work
s0_2598,10697430,ORCA,COMPLETE,OPT,{},1,2024-10-11,20:24:40.77,
s0_1391,10704538,ORCA,FAIL,OPT,"{""OPT"": [""!TightOpt | used to lower the thresholds for the geometry optimization"", ""!Verytightopt defgrid3 | used to lower the threshold for the geometry optimization with tightening the numerical integration grid""]}",3,2024-10-22,00:28:26.85,All frequencies below 100 and applied solutions didn't work
